State,Population,state_clean
.Alabama,5074296,AL
.Alaska,733583,AK
.Arizona,7359197,AZ
.Arkansas,3045637,AR
.California,39029342,CA
.Colorado,5839926,CO
.Connecticut,3626205,CT
.Delaware,1018396,DE
.District of Columbia,671803,DC
.Florida,22244823,FL
.Georgia,10912876,GA
.Hawaii,1440196,HI
.Idaho,1939033,ID
.Illinois,12582032,IL
.Indiana,6833037,IN
.Iowa,3200517,IA
.Kansas,2937150,KS
.Kentucky,4512310,KY
.Louisiana,4590241,LA
.Maine,1385340,ME
.Maryland,6164660,MD
.Massachusetts,6981974,MA
.Michigan,10034113,MI
.Minnesota,5717184,MN
.Mississippi,2940057,MS
.Missouri,6177957,MO
.Montana,1122867,MT
.Nebraska,1967923,NE
.Nevada,3177772,NV
.New Hampshire,1395231,NH
.New Jersey,9261699,NJ
.New Mexico,2113344,NM
.New York,19677151,NY
.North Carolina,10698973,NC
.North Dakota,779261,ND
.Ohio,11756058,OH
.Oklahoma,4019800,OK
.Oregon,4240137,OR
.Pennsylvania,12972008,PA
.Rhode Island,1093734,RI
.South Carolina,5282634,SC
.South Dakota,909824,SD
.Tennessee,7051339,TN
.Texas,30029572,TX
.Utah,3380800,UT
.Vermont,647064,VT
.Virginia,8683619,VA
.Washington,7785786,WA
.West Virginia,1775156,WV
.Wisconsin,5892539,WI
.Wyoming,581381,WY